_id,Date,Rain,Temp Max,Temp Min
185,1951-04-07T00:00:00,0,35.13000107,24.22999954
186,1951-05-07T00:00:00,0.238677159,34.58000183,24.17000008
187,1951-06-07T00:00:00,0,33.93000031,24.81999969
188,1951-07-07T00:00:00,14.76497746,34.04000092,22.42000008
189,1951-08-07T00:00:00,11.26773262,30.07999992,22.42000008
190,1951-09-07T00:00:00,0.803452253,29.02000046,22.17000008
191,1951-10-07T00:00:00,0.358015716,33.50999832,24.34000015
192,1951-11-07T00:00:00,0,34.06999969,24.29999924
193,1951-12-07T00:00:00,44.22423172,34.20999908,22.05999947
194,1951-07-13T00:00:00,0.119338579,30.13999939,23.09000015
195,1951-07-14T00:00:00,0,31.30999947,23.32999992
196,1951-07-15T00:00:00,9.517139435,32.52999878,24.71999931
197,1951-07-16T00:00:00,7.449065208,33.84000015,23.01000023
198,1951-07-17T00:00:00,17.86408806,31.70000076,23.17000008
199,1951-07-18T00:00:00,0.560979426,31.38999939,23.20000076
200,1951-07-19T00:00:00,0,28.79999924,21.97999954
201,1951-07-20T00:00:00,6.494011879,27.87999916,21.69000053
202,1951-07-21T00:00:00,24.82524681,27.23999977,22.35000038
203,1951-07-22T00:00:00,32.70929337,27.70000076,21.85000038
204,1951-07-23T00:00:00,9.205909729,27.98999977,22.60000038
205,1951-07-24T00:00:00,6.262153149,29.21999931,22.56999969
206,1951-07-25T00:00:00,5.42848587,27.5,21.97999954
207,1951-07-26T00:00:00,0.931880951,26.38999939,21.98999977
208,1951-07-27T00:00:00,0,28.53000069,22.28000069
209,1951-07-28T00:00:00,0,31.07999992,22.78000069
210,1951-07-29T00:00:00,0,32.29000092,22.96999931
211,1951-07-30T00:00:00,19.41635513,30.64999962,23.06999969
212,1951-07-31T00:00:00,25.26832962,27.56999969,21.96999931
213,1951-01-08T00:00:00,0.27543062,27.28000069,22.19000053
214,1951-02-08T00:00:00,4.339442253,29.70999908,22.57999992
215,1951-03-08T00:00:00,17.00202942,30.04999924,22.56999969
216,1951-04-08T00:00:00,15.11560249,29.20999908,21.95000076
217,1951-05-08T00:00:00,17.93618393,26.37999916,21.70000076
218,1951-06-08T00:00:00,0,28.69000053,22.15999985
219,1951-07-08T00:00:00,0,28.29999924,22.21999931
220,1951-08-08T00:00:00,0.119338579,27.31999969,22.47999954
221,1951-09-08T00:00:00,0.179007858,29.86000061,22.69000053
222,1951-10-08T00:00:00,0,31.43000031,22.81999969
223,1951-11-08T00:00:00,0,31.40999985,23.09000015
224,1951-12-08T00:00:00,1.028303742,31.12000084,22.64999962
225,1951-08-13T00:00:00,6.416240215,29.93000031,22.82999992
226,1951-08-14T00:00:00,0,30.79000092,22.61000061
227,1951-08-15T00:00:00,0.50617069,32.15999985,23.29000092
228,1951-08-16T00:00:00,0,32.16999817,22.97999954
229,1951-08-17T00:00:00,1.675587654,30.84000015,22.34000015
230,1951-08-18T00:00:00,0,30.30999947,22.28000069
231,1951-08-19T00:00:00,0,31.77000046,22.89999962
232,1951-08-20T00:00:00,0.215761334,32.56999969,23.37000084
233,1951-08-21T00:00:00,0.521612644,32.95000076,23.25
234,1951-08-22T00:00:00,0,32.31999969,23.20999908
235,1951-08-23T00:00:00,0,30.06999969,22.92000008
236,1951-08-24T00:00:00,0,30.85000038,22.35000038
237,1951-08-25T00:00:00,1.697113156,32.49000168,23.27000046
238,1951-08-26T00:00:00,2.290215969,31.37999916,22.92000008
239,1951-08-27T00:00:00,13.28939056,31.25,23.85000038
240,1951-08-28T00:00:00,0,31.37000084,23.14999962
241,1951-08-29T00:00:00,12.00722313,31.20999908,22.48999977
242,1951-08-30T00:00:00,3.016823769,31.59000015,23.31999969
243,1951-08-31T00:00:00,4.435027599,30.46999931,21.98999977
244,1951-01-09T00:00:00,5.645596504,29.79000092,22.39999962
245,1951-02-09T00:00:00,3.204018354,29.27000046,22.18000031
246,1951-03-09T00:00:00,0,31.19000053,23.05999947
247,1951-04-09T00:00:00,0,30.79000092,23.04999924
248,1951-05-09T00:00:00,0.457714975,29.32999992,22.65999985
249,1951-06-09T00:00:00,0,28.04000092,21.36000061
250,1951-07-09T00:00:00,4.561738968,27.15999985,21.17000008
251,1951-08-09T00:00:00,14.17442322,27.29999924,21.93000031
252,1951-09-09T00:00:00,20.49250031,31.13999939,22.37999916
253,1951-10-09T00:00:00,1.207824945,30.68000031,22.70000076
254,1951-11-09T00:00:00,0,30.70999908,22.68000031
255,1951-12-09T00:00:00,0,30.95000076,22.60000038
256,1951-09-13T00:00:00,0,31.36000061,22.5
257,1951-09-14T00:00:00,0,32.31000137,22.29000092
258,1951-09-15T00:00:00,0,33.02000046,23.09000015
259,1951-09-16T00:00:00,0,33.70999908,23.65999985
260,1951-09-17T00:00:00,3.279572487,33.91999817,23.20000076
261,1951-09-18T00:00:00,2.761745214,33.27999878,23.31999969
262,1951-09-19T00:00:00,0,33.13999939,23.70000076
263,1951-09-20T00:00:00,0,33.56999969,23.23999977
264,1951-09-21T00:00:00,0,33.61999893,24.12000084
265,1951-09-22T00:00:00,13.76159477,32.79999924,23.29999924
266,1951-09-23T00:00:00,0,33.91999817,23.81999969
267,1951-09-24T00:00:00,0,33.86000061,22.77000046
268,1951-09-25T00:00:00,0.612855136,33.11999893,22.80999947
269,1951-09-26T00:00:00,11.4622488,32.36000061,23.02000046
270,1951-09-27T00:00:00,13.52884007,33.11999893,23.22999954
271,1951-09-28T00:00:00,5.879554749,31.17000008,22.96999931
272,1951-09-29T00:00:00,14.43359661,31.53000069,23.18000031
273,1951-09-30T00:00:00,25.05863953,30.39999962,21.98999977
274,1951-01-10T00:00:00,49.47986984,30.62000084,22.92000008
275,1951-02-10T00:00:00,8.673933983,30.21999931,23.19000053
276,1951-03-10T00:00:00,8.036379814,30.47999954,23.42000008
277,1951-04-10T00:00:00,0.986688554,29.89999962,23.32999992
278,1951-05-10T00:00:00,0,32.25999832,22
279,1951-06-10T00:00:00,0,33.13999939,22.90999985
